day,date,negative,new_diagnoses,new_deaths,new_tests,yield
33,2020-02-29,9.0,16.0,1.0,25.0,0.64
34,2020-03-01,32.0,12.0,3.0,44.0,0.2727272727272727
35,2020-03-02,81.0,19.0,2.0,100.0,0.19
36,2020-03-03,105.0,15.0,3.0,120.0,0.125
37,2020-03-04,118.0,25.0,4.0,143.0,0.17482517482517482
38,2020-03-05,157.0,38.0,5.0,195.0,0.19487179487179487
39,2020-03-06,168.0,25.0,7.0,193.0,0.12953367875647667
40,2020-03-07,101.0,20.0,0.0,121.0,0.1652892561983471
41,2020-03-08,125.0,43.0,5.0,168.0,0.25595238095238093
42,2020-03-09,303.0,36.0,3.0,339.0,0.10619469026548672
43,2020-03-10,480.0,71.0,2.0,551.0,0.12885662431941924
44,2020-03-11,627.0,62.0,2.0,689.0,0.0899854862119013
45,2020-03-12,940.0,99.0,4.0,1039.0,0.09528392685274302
46,2020-03-13,1068.0,121.0,3.0,1189.0,0.10176619007569386
47,2020-03-14,584.0,76.0,4.0,660.0,0.11515151515151516
48,2020-03-15,335.0,46.0,3.0,381.0,0.12073490813648294
49,2020-03-16,1205.0,135.0,6.0,1340.0,0.10074626865671642
50,2020-03-17,1090.0,119.0,7.0,1209.0,0.09842845326716294
51,2020-03-18,1163.0,147.0,4.0,1310.0,0.11221374045801527
52,2020-03-19,1080.0,159.0,5.0,1239.0,0.12832929782082325
53,2020-03-20,1014.0,120.0,7.0,1134.0,0.10582010582010581
54,2020-03-21,444.0,78.0,4.0,522.0,0.14942528735632185
55,2020-03-22,300.0,74.0,15.0,374.0,0.19786096256684493
56,2020-03-23,1180.0,202.0,9.0,1382.0,0.14616497829232997
57,2020-03-24,1187.0,177.0,9.0,1364.0,0.12976539589442815
58,2020-03-25,1153.0,179.0,9.0,1332.0,0.13438438438438438
59,2020-03-26,1055.0,172.0,15.0,1227.0,0.1401792991035045
60,2020-03-27,1080.0,206.0,9.0,1286.0,0.16018662519440124
61,2020-03-28,614.0,95.0,14.0,709.0,0.13399153737658676
62,2020-03-29,407.0,123.0,8.0,530.0,0.2320754716981132
63,2020-03-30,1321.0,227.0,5.0,1548.0,0.146640826873385
64,2020-03-31,1166.0,201.0,6.0,1367.0,0.14703730797366496
65,2020-04-01,1206.0,179.0,12.0,1385.0,0.1292418772563177
66,2020-04-02,1135.0,178.0,11.0,1313.0,0.13556740289413557
67,2020-04-03,1216.0,197.0,13.0,1413.0,0.1394196744515216
68,2020-04-04,736.0,95.0,12.0,831.0,0.11432009626955475
69,2020-04-05,504.0,74.0,15.0,578.0,0.12802768166089964
70,2020-04-06,1191.0,162.0,14.0,1353.0,0.1197339246119734
71,2020-04-07,1389.0,188.0,15.0,1577.0,0.1192136968928345
72,2020-04-08,1257.0,143.0,10.0,1400.0,0.10214285714285715
73,2020-04-09,1131.0,157.0,7.0,1288.0,0.12189440993788819
74,2020-04-10,1100.0,127.0,13.0,1227.0,0.10350448247758762
75,2020-04-11,636.0,73.0,11.0,709.0,0.10296191819464035
76,2020-04-12,455.0,35.0,5.0,490.0,0.07142857142857142
77,2020-04-13,1165.0,137.0,8.0,1302.0,0.10522273425499232
78,2020-04-14,1093.0,124.0,5.0,1217.0,0.1018898931799507
79,2020-04-15,1146.0,136.0,5.0,1282.0,0.1060842433697348
80,2020-04-16,1222.0,126.0,13.0,1348.0,0.09347181008902077
81,2020-04-17,1246.0,142.0,8.0,1388.0,0.10230547550432277
82,2020-04-18,747.0,53.0,11.0,800.0,0.06625
83,2020-04-19,615.0,39.0,12.0,654.0,0.05963302752293578
84,2020-04-20,1297.0,118.0,6.0,1415.0,0.0833922261484099
85,2020-04-21,1196.0,102.0,13.0,1298.0,0.07858243451463791
86,2020-04-22,1320.0,110.0,5.0,1430.0,0.07692307692307693
87,2020-04-23,1324.0,95.0,5.0,1419.0,0.06694855532064835
88,2020-04-24,1458.0,89.0,9.0,1547.0,0.057530704589528116
89,2020-04-25,1191.0,66.0,10.0,1257.0,0.05250596658711217
90,2020-04-26,585.0,44.0,9.0,629.0,0.06995230524642289
91,2020-04-27,1612.0,114.0,6.0,1726.0,0.0660486674391657
92,2020-04-28,1813.0,89.0,5.0,1902.0,0.04679284963196635
93,2020-04-29,1971.0,112.0,5.0,2083.0,0.05376860297647624
94,2020-04-30,1722.0,76.0,4.0,1798.0,0.042269187986651836
95,2020-05-01,1784.0,128.0,7.0,1912.0,0.06694560669456066
96,2020-05-02,946.0,43.0,4.0,989.0,0.043478260869565216
97,2020-05-03,535.0,22.0,4.0,557.0,0.03949730700179533
98,2020-05-04,2298.0,108.0,7.0,2406.0,0.04488778054862843
99,2020-05-05,2194.0,72.0,5.0,2266.0,0.03177405119152692
100,2020-05-06,1999.0,86.0,5.0,2085.0,0.04124700239808154
101,2020-05-07,1765.0,69.0,5.0,1834.0,0.0376226826608506
102,2020-05-08,1837.0,67.0,7.0,1904.0,0.0351890756302521
103,2020-05-09,815.0,48.0,3.0,863.0,0.055619930475086905
104,2020-05-10,310.0,13.0,10.0,323.0,0.04024767801857585
105,2020-05-11,1838.0,78.0,2.0,1916.0,0.0407098121085595
106,2020-05-12,1982.0,68.0,3.0,2050.0,0.033170731707317075
107,2020-05-13,1840.0,78.0,1.0,1918.0,0.040667361835245046
108,2020-05-14,1663.0,61.0,3.0,1724.0,0.03538283062645012
109,2020-05-15,2000.0,76.0,1.0,2076.0,0.036608863198458574
110,2020-05-16,1048.0,26.0,4.0,1074.0,0.024208566108007448
111,2020-05-17,512.0,17.0,4.0,529.0,0.03213610586011342
112,2020-05-18,2289.0,77.0,0.0,2366.0,0.03254437869822485
113,2020-05-19,2118.0,40.0,4.0,2158.0,0.018535681186283594
114,2020-05-20,1962.0,57.0,4.0,2019.0,0.02823179791976226
115,2020-05-21,1605.0,36.0,4.0,1641.0,0.021937842778793418
116,2020-05-22,1545.0,51.0,2.0,1596.0,0.03195488721804511
117,2020-05-23,904.0,18.0,4.0,922.0,0.019522776572668113
118,2020-05-24,560.0,11.0,3.0,571.0,0.01926444833625219
119,2020-05-25,602.0,13.0,3.0,615.0,0.02113821138211382
